Ingredient,Source_ID,Condition,Extracted_Type,Min,Max,Unit,Freq,Raw_Text_Snippet,Full_Instructions
(polysaccharide iron complex),32584,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
(polysaccharide iron complex),437245,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION Pharmacy Bulk Package. Not for direct intravenous infusion . ( 2.1 ) See...
(polysaccharide iron complex),437246,instructions_for_use,FAILED,,,,,No Match Found,"3 DOSAGE FORMS AND STRENGTHS Zinc Sulfate Injection, USP: 10 mg/10 mL (1 mg/mL) of zinc as a clear c..."
(polysaccharide iron complex),437248,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION • Pharmacy Bulk Package. Not for direct intravenous infusion. ( 2.1 ) • ...
*cyclomethicone*,44137,General,FAILED,,,,,No Match Found,See package insert...
*cyclomethicone*,599227,dosage_and_administration,FAILED,,,,,No Match Found,"Directions • shake well before using • all dosages may be repeated as needed, after meals and at bed..."
*cyclomethicone*,599249,dosage_and_administration,FAILED,,,,,No Match Found,"Directions Directions: - Before or after exercise and after taking a shower, apply on the shoulders,..."
*cyclomethicone*,599317,dosage_and_administration,FAILED,,,,,No Match Found,Directions Use for final step of skin care. Apply 1g amount in the palm of hand per application. Rub...
- caffeine -saw palmetto -rosemary - aloe vera - biotin -vitamin c -keratin -jojoba -lavender -olive oil - almond oil - thyme - panthenol -a powerful management for telegen effluvium & androgenetic alopecia -powerfully stimulates scalp circulation and stimulates hair growth -elongating the anagen phase in hair follicles -stimulates production in hair. *indicated in: -hair falling -weak and damaged hair -hair shaft abnormalities (split ends) -dry hair and treated with chmical (dyes) -post hair transplantation *suitable for dry and oily scalp,44182,General,WHO DDD (Arabic),0.4,0.4,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 g,الجرعة اليومية المحددة (WHO DDD): 0.4 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
..,39188,General,FAILED,,,,,No Match Found,See package insert...
..,1510017,dosage_and_administration,FAILED,,,,,No Match Found,Directions Directions: - Bubbles well with warm water - Massage your body for about one minute. Rins...
...,44071,General,WHO DDD (Arabic),1.6,1.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 1.6 g,الجرعة اليومية المحددة (WHO DDD): 1.6 g (Inhal.solution). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين...
...,43952,General,WHO DDD (Arabic),1.6,1.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 1.6 g,الجرعة اليومية المحددة (WHO DDD): 1.6 g (Inhal.solution). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين...
...,47594,General,WHO DDD (Arabic),1.6,1.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 1.6 g,الجرعة اليومية المحددة (WHO DDD): 1.6 g (Inhal.solution). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين...
...,43475,General,FAILED,,,,,No Match Found,See package insert...
...,1514199,dosage_and_administration,FAILED,,,,,No Match Found,"Directions After cleansing face, apply the adequate amount on skin..."
.d.d.b,33572,General,FAILED,,,,,No Match Found,See package insert...
.d.d.b,560733,dosage_and_administration,FAILED,,,,,No Match Found,for external use only...
0 1% polyhexanide (phmb),50611,General,FAILED,,,,,No Match Found,See package insert...
0 1% polyhexanide (phmb),46707,General,FAILED,,,,,No Match Found,جل يعمل علي ترطيب و تلطيف الجلد -- علاج الجروح والندبات...
0.0004 mg cyanocobalamin,48804,General,WHO DDD (Arabic),50.0,50.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 50 g,الجرعة اليومية المحددة (WHO DDD): 50 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
0.08 mg folic acid,48804,General,WHO DDD (Arabic),50.0,50.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 50 g,الجرعة اليومية المحددة (WHO DDD): 50 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
0.75 mg vitamin e,45058,General,FAILED,,,,,No Match Found,See package insert...
000,40527,General,FAILED,,,,,No Match Found,See package insert...
000 i.u.,34612,General,FAILED,,,,,No Match Found,See package insert...
1,41095,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
1,1453076,dosage_and_administration,FAILED,,,,,No Match Found,Warnings For external use only Flammable Keep away from excessive heat or open flame Do not use With...
1,1453082,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
1,1453088,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
1-5-methyltetrahydrofolate,49195,General,FAILED,,,,,No Match Found,See package insert...
10 mg magnesium,34422,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
10 mg omega 9 (oleic acid),45058,General,FAILED,,,,,No Match Found,See package insert...
10% zinc oxide urea tocopherol clotrimazol,45937,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
10%urea,49994,General,FAILED,,,,,No Match Found,See package insert...
10-hydroxystearic acid,48245,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
10-hydroxystearic acid,1268966,dosage_and_administration,FAILED,,,,,No Match Found,Warnings For external use only Flammable Keep away from excessive heat or open flame Do not use With...
10-hydroxystearic acid,1268972,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
10-hydroxystearic acid,1268978,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
10-hydroxystearic acid,36198,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
100 mg colostrum,34422,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
1000 iu vitamin d3,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
100mg calcium,34422,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
10mcg methylcobalamin,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
10mg vit b2,27791,General,FAILED,,,,,No Match Found,See package insert...
10mg vit b6,27791,General,FAILED,,,,,No Match Found,See package insert...
12,42850,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
12,1752842,indications,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
12,1752842,indications,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
12,1752843,overdosage,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
12,1752843,overdosage,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
12,1752844,dosage_and_administration,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
12,1752844,dosage_and_administration,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
12 mg vitamin c,33041,General,FAILED,,,,,No Match Found,See package insert...
12 mg zinc bisglycinate,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
12 vitamins,36297,General,FAILED,,,,,No Match Found,فيتامينات متعددة...
12) folic acid,43269,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
12) folic acid,429042,indications,Adult/General Single,0.5,0.5,mg,daily,"0.5 mg also provides fluoride for caries prophylaxis. The American Academy of Pediatrics recommend that infants and young children 6 months to 3 years of age, in areas where the drinking water contains less than 0.3 ppm of fluoride, and children 3-6 years of age, in areas where the drinking water contains 0.3 through 0.6 ppm of fluoride, receive 0.5 mg of supplemental fluoride daily","INDICATIONS AND USAGE Supplementation of the diet with vitamins A, C and D. Tri-Vite Drops with Fluo..."
12) folic acid,429043,dosage_and_administration,Adult/General Single,1.0,1.0,mL,daily,1.0 mL daily,DOSAGE AND ADMINISTRATION 1.0 mL daily or as directed by physician. May be dropped directly into the...
12) folic acid,1765740,dosage_and_administration,Adult/General Single,2.0,2.0,mg,every 2 hours,"2mg/cm 2 of skin) to all exposed skin 15 minutes before sun exposure, then rub in to reduce whitening effect. Reapply: After 40 minutes of swimming or sweating Immediately after towel drying At least every 2 hours","Directions For full protection, apply liberally (2mg/cm 2 of skin) to all exposed skin 15 minutes be..."
12-and other vitamins,48588,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
120 mg vitaminc,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
13 minerals fe,33168,General,FAILED,,,,,No Match Found,مكمل غذائى لتحسين التمثيل الغذائى ومضاد للاكسدة ويعمل على تحسين الجهاز المناعى ومصدر للطاقة...
13.06 mg),48687,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
150 iu vitamin d3,45058,General,FAILED,,,,,No Match Found,See package insert...
16 other vit,48980,General,FAILED,,,,,No Match Found,مكمل غذائى علاج الانيميا و الامداد بالطاقة وتحسين عام لصحة الجسم...
16.5 mg omega 3 (dha),45058,General,FAILED,,,,,No Match Found,See package insert...
170mcg vit b9,27791,General,FAILED,,,,,No Match Found,See package insert...
170mg epa,35169,General,FAILED,,,,,No Match Found,See package insert...
18-b-glycyrrhetic acid,36919,General,WHO DDD (Arabic),2.5,2.5,g,Daily,الجرعة اليومية المحددة (WHO DDD): 2.5 g,الجرعة اليومية المحددة (WHO DDD): 2.5 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
18-b-glycyrrhetic acid,2287979,dosage_and_administration,FAILED,,,,,No Match Found,DOSAGE AND ADMINISTRATION Apply to the affected areas and rub in thoroughly. Use twice daily or as d...
18-b-glycyrrhetic acid,44647,General,WHO DDD (Arabic),2.5,2.5,g,Daily,الجرعة اليومية المحددة (WHO DDD): 2.5 g,الجرعة اليومية المحددة (WHO DDD): 2.5 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
18-b-glycyrrhetic acid,949532,dosage_and_administration,FAILED,,,,,No Match Found,for external use only...
18-b-glycyrrhetic acid,2287995,dosage_and_administration,FAILED,,,,,No Match Found,DOSAGE AND ADMINISTRATION Apply to the affected areas and rub in thoroughly. Use twice daily or as d...
180 mg vitamin c,30748,General,WHO DDD (Arabic),0.2,0.2,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.2 g,الجرعة اليومية المحددة (WHO DDD): 0.2 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
19 vitamins,50097,General,FAILED,,,,,No Match Found,مكمل غذائى يوفر الفيتامينات والمعادن الازمة اثناء الحمل...
19 vitamins and minerals,26690,General,FAILED,,,,,No Match Found,See package insert...
1cap,46600,General,FAILED,,,,,No Match Found,See package insert...
1ml,32379,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
1ml,437305,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION Pharmacy Bulk Package. Not for direct intravenous infusion . ( 2.1 ) See...
1ml,437306,instructions_for_use,FAILED,,,,,No Match Found,"3 DOSAGE FORMS AND STRENGTHS Zinc Sulfate Injection, USP: 10 mg/10 mL (1 mg/mL) of zinc as a clear c..."
1ml,437308,dosage_and_administration,FAILED,,,,,No Match Found,2 DOSAGE AND ADMINISTRATION • Pharmacy Bulk Package. Not for direct intravenous infusion. ( 2.1 ) • ...
1tab,41255,General,FAILED,,,,,No Match Found,See package insert...
2,43269,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2,429042,indications,Adult/General Single,0.5,0.5,mg,daily,"0.5 mg also provides fluoride for caries prophylaxis. The American Academy of Pediatrics recommend that infants and young children 6 months to 3 years of age, in areas where the drinking water contains less than 0.3 ppm of fluoride, and children 3-6 years of age, in areas where the drinking water contains 0.3 through 0.6 ppm of fluoride, receive 0.5 mg of supplemental fluoride daily","INDICATIONS AND USAGE Supplementation of the diet with vitamins A, C and D. Tri-Vite Drops with Fluo..."
2,429043,dosage_and_administration,Adult/General Single,1.0,1.0,mL,daily,1.0 mL daily,DOSAGE AND ADMINISTRATION 1.0 mL daily or as directed by physician. May be dropped directly into the...
2,1765740,dosage_and_administration,Adult/General Single,2.0,2.0,mg,every 2 hours,"2mg/cm 2 of skin) to all exposed skin 15 minutes before sun exposure, then rub in to reduce whitening effect. Reapply: After 40 minutes of swimming or sweating Immediately after towel drying At least every 2 hours","Directions For full protection, apply liberally (2mg/cm 2 of skin) to all exposed skin 15 minutes be..."
2,42850,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2.5 mg iron,33041,General,FAILED,,,,,No Match Found,See package insert...
2.8 mg zinc,35616,General,WHO DDD (Arabic),3.0,3.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 3 g,الجرعة اليومية المحددة (WHO DDD): 3 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
20 mg vitamin a),35169,General,FAILED,,,,,No Match Found,See package insert...
200 mcg folic acid,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
200 mg lactoferrin,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
21.5 mg omega 6 (linoleic acid),45058,General,FAILED,,,,,No Match Found,See package insert...
23 mg,35945,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
26 nutrients 13 vitamin a,33168,General,FAILED,,,,,No Match Found,مكمل غذائى لتحسين التمثيل الغذائى ومضاد للاكسدة ويعمل على تحسين الجهاز المناعى ومصدر للطاقة...
27 fruit concentrate,36297,General,FAILED,,,,,No Match Found,فيتامينات متعددة...
27 mg iron,29144,General,WHO DDD (Arabic),0.4,0.4,mg,Daily,الجرعة اليومية المحددة (WHO DDD): 0.4 mg,الجرعة اليومية المحددة (WHO DDD): 0.4 mg (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2mg copper bisglycinate,45692,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
2qr,36807,General,FAILED,,,,,No Match Found,Standard Dose: 30.0mg. DOSAGE AND ADMINISTRATION Adult Dosage The recommended adult dose is 30 g arg...
2qr,1001485,dosage_and_administration,FAILED,,,,,No Match Found,"Directions For adult use only. Before procedure, apply a small amount of pain relieving cream to aff..."
3,42850,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
3,1752842,indications,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752842,indications,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752843,overdosage,Adult/General Single,500.0,500.0,mg,daily,500 mg Huile d'Onagre 500 mg Wheat Gem1 Oil l 00 mg HIM! de Genre de Biel 00 mg Flax Seed Oil l 00 mg Huile de Lin 100 mg Soy Oil 20 mg Huile de Soya 20 mg Borage Oil 80 mg Huile de Bourrache 80 mg Vitomin A 150 IU Vitamine A 150 IU Vitamin Bl 20 mg Vita mine Bl 20 mg Vitamin B6 20 mg Vrlamine B6 20 mg Folic Acid 150 mcg Acide Folique 150 mcg Vitamin C 30 mg Vitamine C 30 mg Vitamin D 150 IU Vitamine D 150 IU Vitamin E 200 IU Vrlamine E 200 IU Niacin 3 mg Niacine 3 mg Magnesium 50 mg Magnesium 50 mg Copper 1 mg Cuivre 1 mg Zinc 10 mg Zinc 10 mg Selenium 20 mcg Selenium 20 mcg 72 Trace Minerals 40 mg 72 Oligoelements 40 mg lemon Bioflavonoids 40 mg Biclb.onoidesde0on40 mg lecithin 100 mg l.ecithine 100 mg ingredient Dosage DermaMed™ Nutrition for Troubled Skin is a daily,"Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
3,1752843,overdosage,Adult/General Single,1.5,1.5,g,daily,"1.5 g per serving For best results, take 1 capsule twice daily","Label Nutritional Supplement for Acne, Eczema, Psoriasis, Dermatitis and Hives/Supplement naturel po..."
