[V] DrugCard _buildThumbnailCard: drug=alfabonid 2mcg/ml (1ml=2mcg) 10 amp.
[V] DrugCard build: type=DrugCardType.thumbnail, drug=blincorest co 2/125mg 30 chew. tabs., popular=false, alternative=false
[V] DrugCard _buildThumbnailCard: drug=blincorest co 2/125mg 30 chew. tabs.
[V] DrugCard build: type=DrugCardType.thumbnail, drug=lit up whitening skin serum 50 ml, popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=lit up whitening skin serum 50 ml
[V] DrugCard build: type=DrugCardType.thumbnail, drug=munix 10 sachets, popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=munix 10 sachets
[V] DrugCard build: type=DrugCardType.thumbnail, drug=dextrose 3.3% & sodium chloride 0.3% (otsuka) i.v. inf. 250 ml, popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=dextrose 3.3% & sodium chloride 0.3% (otsuka) i.v. inf. 250 ml
[V] DrugCard build: type=DrugCardType.thumbnail, drug=fenac 100 mg 10 tab., popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=fenac 100 mg 10 tab.
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 (one two three) 20 f.c.tabs., popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 (one two three) 20 f.c.tabs.
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 (one two three) 20 f.c.tabs., popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 (one two three) 20 f.c.tabs.
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 (one two three) syrup 120 ml, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 (one two three) syrup 120 ml
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 extra 20 f.c. tab., popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 extra 20 f.c. tab.
[V] DrugCard build: type=DrugCardType.detailed, drug=2hc f.c.t 20 tablets, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=2hc f.c.t 20 tablets
[V] DrugCard build: type=DrugCardType.detailed, drug=3 fly 1200 mg 20tabs, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=3 fly 1200 mg 20tabs
[V] DrugCard build: type=DrugCardType.detailed, drug=3 fly 300 mg 20 tabs, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=3 fly 300 mg 20 tabs
[V] HomeScreen _onScroll: Pixels=1.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=41.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=46.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=51.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=57.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=62.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=68.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=75.1, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=81.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=87.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=94.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=100.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=106.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=112.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=118.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=123.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=129.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=134.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=137.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=140.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=142.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=146.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=149.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=152.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=156.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=160.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=169.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=177.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=184.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=191.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=197.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=202.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=207.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=211.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=215.1, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=218.1, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=220.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=222.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=224.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=225.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=226.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=226.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=226.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=226.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=226.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=227.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=228.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=230.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=233.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=235.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=238.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=241.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=245.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=249.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=254.1, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=258.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=263.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=268.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=273.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=278.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=283.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=288.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=293.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=298.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=303.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=307.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=312.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=317.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=321.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=324.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=326.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=329.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=331.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=334.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=337.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=341.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=344.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=348.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=352.1, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=356.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=359.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=363.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=367.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=371.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=375.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=379.7, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=383.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=387.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=391.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=395.5, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=399.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=416.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=431.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=447.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=461.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
