WikEM_Name,DB_Ingredient_Name,Match_Type,File_Path
Septic arthritis (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Septic_arthritis_(peds).json
TURP syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/TURP_syndrome.json
Keratoconjunctivitis,,None,scripts/wikem_scraper/scraped_data/drugs/Keratoconjunctivitis.json
Sulfadiazine,,None,scripts/wikem_scraper/scraped_data/drugs/Sulfadiazine.json
Oxygen therapy,,None,scripts/wikem_scraper/scraped_data/drugs/Oxygen_therapy.json
Pertussis,pertussis,Exact,scripts/wikem_scraper/scraped_data/drugs/Pertussis.json
Military emergency medicine,,None,scripts/wikem_scraper/scraped_data/drugs/Military_emergency_medicine.json
Non-neonatal hypoglycemia (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Non-neonatal_hypoglycemia_(peds).json
Enterobacter,,None,scripts/wikem_scraper/scraped_data/drugs/Enterobacter.json
Neck pain,,None,scripts/wikem_scraper/scraped_data/drugs/Neck_pain.json
Stridor,,None,scripts/wikem_scraper/scraped_data/drugs/Stridor.json
Salmonella,,None,scripts/wikem_scraper/scraped_data/drugs/Salmonella.json
ACE inhibitor,,None,scripts/wikem_scraper/scraped_data/drugs/ACE_inhibitor.json
Psoriasis,,None,scripts/wikem_scraper/scraped_data/drugs/Psoriasis.json
Apneic oxygenation,,None,scripts/wikem_scraper/scraped_data/drugs/Apneic_oxygenation.json
Incision and drainage,,None,scripts/wikem_scraper/scraped_data/drugs/Incision_and_drainage.json
Ankle syndesmosis injury,,None,scripts/wikem_scraper/scraped_data/drugs/Ankle_syndesmosis_injury.json
Ganglion cyst,,None,scripts/wikem_scraper/scraped_data/drugs/Ganglion_cyst.json
Tianeptine toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Tianeptine_toxicity.json
Motion sickness,,None,scripts/wikem_scraper/scraped_data/drugs/Motion_sickness.json
Left ventricular aneurysm,,None,scripts/wikem_scraper/scraped_data/drugs/Left_ventricular_aneurysm.json
Bivalirudin,,None,scripts/wikem_scraper/scraped_data/drugs/Bivalirudin.json
Trapezoid fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Trapezoid_fracture.json
Ataxia,,None,scripts/wikem_scraper/scraped_data/drugs/Ataxia.json
Subacromial bursitis,,None,scripts/wikem_scraper/scraped_data/drugs/Subacromial_bursitis.json
Enterococcus faecium,,None,scripts/wikem_scraper/scraped_data/drugs/Enterococcus_faecium.json
Right lower quadrant abdominal pain,,None,scripts/wikem_scraper/scraped_data/drugs/Right_lower_quadrant_abdominal_pain.json
Candida dermatitis,,None,scripts/wikem_scraper/scraped_data/drugs/Candida_dermatitis.json
Intersection syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Intersection_syndrome.json
Typhoid fever,,None,scripts/wikem_scraper/scraped_data/drugs/Typhoid_fever.json
Risperidone,risperidone,Exact,scripts/wikem_scraper/scraped_data/drugs/Risperidone.json
Gastrointestinal bleeding (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Gastrointestinal_bleeding_(peds).json
Fire coral envenomation,,None,scripts/wikem_scraper/scraped_data/drugs/Fire_coral_envenomation.json
Zika virus,,None,scripts/wikem_scraper/scraped_data/drugs/Zika_virus.json
Carbamazepine,carbamazepine,Exact,scripts/wikem_scraper/scraped_data/drugs/Carbamazepine.json
Postpartum headache,,None,scripts/wikem_scraper/scraped_data/drugs/Postpartum_headache.json
Inferior shoulder dislocation,,None,scripts/wikem_scraper/scraped_data/drugs/Inferior_shoulder_dislocation.json
Methylene blue,methylene blue,Exact,scripts/wikem_scraper/scraped_data/drugs/Methylene_blue.json
Dirty bomb,,None,scripts/wikem_scraper/scraped_data/drugs/Dirty_bomb.json
Biliary ultrasound,,None,scripts/wikem_scraper/scraped_data/drugs/Biliary_ultrasound.json
Budesonide,budesonide,Exact,scripts/wikem_scraper/scraped_data/drugs/Budesonide.json
Parasitic diseases,,None,scripts/wikem_scraper/scraped_data/drugs/Parasitic_diseases.json
Missile embolism,,None,scripts/wikem_scraper/scraped_data/drugs/Missile_embolism.json
Amiodarone,amiodarone,Exact,scripts/wikem_scraper/scraped_data/drugs/Amiodarone.json
Syphilis,,None,scripts/wikem_scraper/scraped_data/drugs/Syphilis.json
Traumatic asphyxia,,None,scripts/wikem_scraper/scraped_data/drugs/Traumatic_asphyxia.json
Cavernous sinus thrombosis,,None,scripts/wikem_scraper/scraped_data/drugs/Cavernous_sinus_thrombosis.json
Post-concussive syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Post-concussive_syndrome.json
Hepatitis A,,None,scripts/wikem_scraper/scraped_data/drugs/Hepatitis_A.json
Jefferson fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Jefferson_fracture.json
Erysipelas,,None,scripts/wikem_scraper/scraped_data/drugs/Erysipelas.json
Hepatic abscess,,None,scripts/wikem_scraper/scraped_data/drugs/Hepatic_abscess.json
Myositis (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Myositis_(peds).json
Chlorate toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Chlorate_toxicity.json
Tetralogy of Fallot,,None,scripts/wikem_scraper/scraped_data/drugs/Tetralogy_of_Fallot.json
Open fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Open_fracture.json
Factitious disorder,,None,scripts/wikem_scraper/scraped_data/drugs/Factitious_disorder.json
Eosinophilic fever,,None,scripts/wikem_scraper/scraped_data/drugs/Eosinophilic_fever.json
Hamate fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Hamate_fracture.json
Chloramphenicol,chloramphenicol,Exact,scripts/wikem_scraper/scraped_data/drugs/Chloramphenicol.json
Myiasis,,None,scripts/wikem_scraper/scraped_data/drugs/Myiasis.json
Acute flaccid myelitis,,None,scripts/wikem_scraper/scraped_data/drugs/Acute_flaccid_myelitis.json
Video laryngoscopy,,None,scripts/wikem_scraper/scraped_data/drugs/Video_laryngoscopy.json
Penile dorsal slit,,None,scripts/wikem_scraper/scraped_data/drugs/Penile_dorsal_slit.json
Sudden infant death syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Sudden_infant_death_syndrome.json
Anion gap acidosis,,None,scripts/wikem_scraper/scraped_data/drugs/Anion_gap_acidosis.json
Ethanol withdrawal,,None,scripts/wikem_scraper/scraped_data/drugs/Ethanol_withdrawal.json
Medication drip doses (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Medication_drip_doses_(peds).json
Abdominal pain (geriatrics),,None,scripts/wikem_scraper/scraped_data/drugs/Abdominal_pain_(geriatrics).json
Emergency Medical Treatment and Active Labor Act,,None,scripts/wikem_scraper/scraped_data/drugs/Emergency_Medical_Treatment_and_Active_Labor_Act.json
Hookworm,,None,scripts/wikem_scraper/scraped_data/drugs/Hookworm.json
Red Man Syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Red_Man_Syndrome.json
Carotid-cavernous fistula,,None,scripts/wikem_scraper/scraped_data/drugs/Carotid-cavernous_fistula.json
Orbital compartment syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Orbital_compartment_syndrome.json
Priapism,,None,scripts/wikem_scraper/scraped_data/drugs/Priapism.json
Kounis syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Kounis_syndrome.json
Bipolar disorder,,None,scripts/wikem_scraper/scraped_data/drugs/Bipolar_disorder.json
Anorectal abscess en,,None,scripts/wikem_scraper/scraped_data/drugs/Anorectal_abscess_en.json
Emtricitabine tenofovir,,None,scripts/wikem_scraper/scraped_data/drugs/Emtricitabine_tenofovir.json
Bullous myringitis,,None,scripts/wikem_scraper/scraped_data/drugs/Bullous_myringitis.json
Amphotericin B,amphotericin b,Exact,scripts/wikem_scraper/scraped_data/drugs/Amphotericin_B.json
Tono-Pen use,,None,scripts/wikem_scraper/scraped_data/drugs/Tono-Pen_use.json
Liver disease induced coagulopathy,,None,scripts/wikem_scraper/scraped_data/drugs/Liver_disease_induced_coagulopathy.json
Capsaicin,capsaicin,Exact,scripts/wikem_scraper/scraped_data/drugs/Capsaicin.json
Suprapubic catheter placement,,None,scripts/wikem_scraper/scraped_data/drugs/Suprapubic_catheter_placement.json
Needle thoracostomy,,None,scripts/wikem_scraper/scraped_data/drugs/Needle_thoracostomy.json
Dacryocystitis,,None,scripts/wikem_scraper/scraped_data/drugs/Dacryocystitis.json
Ascending cholangitis en,,None,scripts/wikem_scraper/scraped_data/drugs/Ascending_cholangitis_en.json
Temporomandibular disorder,,None,scripts/wikem_scraper/scraped_data/drugs/Temporomandibular_disorder.json
Caffeine withdrawal,,None,scripts/wikem_scraper/scraped_data/drugs/Caffeine_withdrawal.json
Box jellyfish envenomation,,None,scripts/wikem_scraper/scraped_data/drugs/Box_jellyfish_envenomation.json
Kidney transplant complications,,None,scripts/wikem_scraper/scraped_data/drugs/Kidney_transplant_complications.json
Genitourinary trauma,,None,scripts/wikem_scraper/scraped_data/drugs/Genitourinary_trauma.json
Cutaneous larva migrans,,None,scripts/wikem_scraper/scraped_data/drugs/Cutaneous_larva_migrans.json
ECG (peds),,None,scripts/wikem_scraper/scraped_data/drugs/ECG_(peds).json
Venous thromboembolism,,None,scripts/wikem_scraper/scraped_data/drugs/Venous_thromboembolism.json
Lead toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Lead_toxicity.json
United States Antibiogram,,None,scripts/wikem_scraper/scraped_data/drugs/United_States_Antibiogram.json
Gastric volvulus,,None,scripts/wikem_scraper/scraped_data/drugs/Gastric_volvulus.json
Pathologic Q waves,,None,scripts/wikem_scraper/scraped_data/drugs/Pathologic_Q_waves.json
Aeromonas sp,,None,scripts/wikem_scraper/scraped_data/drugs/Aeromonas_sp.json
ECG (main),,None,scripts/wikem_scraper/scraped_data/drugs/ECG_(main).json
Mirror laryngoscopy,,None,scripts/wikem_scraper/scraped_data/drugs/Mirror_laryngoscopy.json
Legionella,,None,scripts/wikem_scraper/scraped_data/drugs/Legionella.json
Parsonage-Turner syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Parsonage-Turner_syndrome.json
Limp (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Limp_(peds).json
Auricular perichondritis,,None,scripts/wikem_scraper/scraped_data/drugs/Auricular_perichondritis.json
STOPP START criteria,,None,scripts/wikem_scraper/scraped_data/drugs/STOPP_START_criteria.json
Cefotaxime,cefotaxime,Exact,scripts/wikem_scraper/scraped_data/drugs/Cefotaxime.json
Pronator teres syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Pronator_teres_syndrome.json
IV nitroglycerine alternatives,,None,scripts/wikem_scraper/scraped_data/drugs/IV_nitroglycerine_alternatives.json
Brewerton view x-ray,,None,scripts/wikem_scraper/scraped_data/drugs/Brewerton_view_x-ray.json
Tracheostomy dislodgement,,None,scripts/wikem_scraper/scraped_data/drugs/Tracheostomy_dislodgement.json
Heart murmurs,,None,scripts/wikem_scraper/scraped_data/drugs/Heart_murmurs.json
Blood products,,None,scripts/wikem_scraper/scraped_data/drugs/Blood_products.json
Pilon fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Pilon_fracture.json
Phytophotodermatitis,,None,scripts/wikem_scraper/scraped_data/drugs/Phytophotodermatitis.json
Total anomalous pulmonary venous return,,None,scripts/wikem_scraper/scraped_data/drugs/Total_anomalous_pulmonary_venous_return.json
Neurogenic shock,,None,scripts/wikem_scraper/scraped_data/drugs/Neurogenic_shock.json
Mural thrombus,,None,scripts/wikem_scraper/scraped_data/drugs/Mural_thrombus.json
Crotinarius mushrooms,,None,scripts/wikem_scraper/scraped_data/drugs/Crotinarius_mushrooms.json
Advanced airway adjuncts,,None,scripts/wikem_scraper/scraped_data/drugs/Advanced_airway_adjuncts.json
Valsartan,valsartan,Exact,scripts/wikem_scraper/scraped_data/drugs/Valsartan.json
Hereditary spherocytosis,,None,scripts/wikem_scraper/scraped_data/drugs/Hereditary_spherocytosis.json
Marfan syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Marfan_syndrome.json
Biliary atresia en,,None,scripts/wikem_scraper/scraped_data/drugs/Biliary_atresia_en.json
Mesenteric panniculitis,,None,scripts/wikem_scraper/scraped_data/drugs/Mesenteric_panniculitis.json
Glenohumeral instability,,None,scripts/wikem_scraper/scraped_data/drugs/Glenohumeral_instability.json
Terbutaline,terbutaline,Exact,scripts/wikem_scraper/scraped_data/drugs/Terbutaline.json
Psychogenic nonepileptic seizure,,None,scripts/wikem_scraper/scraped_data/drugs/Psychogenic_nonepileptic_seizure.json
Eumycetoma,,None,scripts/wikem_scraper/scraped_data/drugs/Eumycetoma.json
Trichotillomania,,None,scripts/wikem_scraper/scraped_data/drugs/Trichotillomania.json
Barton%27s fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Barton%27s_fracture.json
COVID-19 (peds),,None,scripts/wikem_scraper/scraped_data/drugs/COVID-19_(peds).json
Rectal foreign body,,None,scripts/wikem_scraper/scraped_data/drugs/Rectal_foreign_body.json
Ibuprofen,ibuprofen,Exact,scripts/wikem_scraper/scraped_data/drugs/Ibuprofen.json
Hip bursitis,,None,scripts/wikem_scraper/scraped_data/drugs/Hip_bursitis.json
Oxalic acid toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Oxalic_acid_toxicity.json
Legg-Calve-Perthes disease,,None,scripts/wikem_scraper/scraped_data/drugs/Legg-Calve-Perthes_disease.json
Coxsackie virus,,None,scripts/wikem_scraper/scraped_data/drugs/Coxsackie_virus.json
Abdominal pain in pregnancy en,,None,scripts/wikem_scraper/scraped_data/drugs/Abdominal_pain_in_pregnancy_en.json
Vertebral burst fractures,,None,scripts/wikem_scraper/scraped_data/drugs/Vertebral_burst_fractures.json
Preterm labor,,None,scripts/wikem_scraper/scraped_data/drugs/Preterm_labor.json
Diabetic foot infection,,None,scripts/wikem_scraper/scraped_data/drugs/Diabetic_foot_infection.json
Electrical injuries,,None,scripts/wikem_scraper/scraped_data/drugs/Electrical_injuries.json
Tendon injury,,None,scripts/wikem_scraper/scraped_data/drugs/Tendon_injury.json
Illness anxiety disorder,,None,scripts/wikem_scraper/scraped_data/drugs/Illness_anxiety_disorder.json
High altitude retinopathy,,None,scripts/wikem_scraper/scraped_data/drugs/High_altitude_retinopathy.json
Ankle dislocation,,None,scripts/wikem_scraper/scraped_data/drugs/Ankle_dislocation.json
Cholesteatoma,,None,scripts/wikem_scraper/scraped_data/drugs/Cholesteatoma.json
Hydroxyurea,hydroxyurea,Exact,scripts/wikem_scraper/scraped_data/drugs/Hydroxyurea.json
Gold toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Gold_toxicity.json
Mumps,mumps,Exact,scripts/wikem_scraper/scraped_data/drugs/Mumps.json
Calcium gluconate,calcium gluconate,Exact,scripts/wikem_scraper/scraped_data/drugs/Calcium_gluconate.json
Gram negative bacteria,,None,scripts/wikem_scraper/scraped_data/drugs/Gram_negative_bacteria.json
Basilar skull fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Basilar_skull_fracture.json
Aortic ultrasound,,None,scripts/wikem_scraper/scraped_data/drugs/Aortic_ultrasound.json
Range of motion by joint,,None,scripts/wikem_scraper/scraped_data/drugs/Range_of_motion_by_joint.json
Scrotal abscess,,None,scripts/wikem_scraper/scraped_data/drugs/Scrotal_abscess.json
Activated charcoal,activated charcoal,Exact,scripts/wikem_scraper/scraped_data/drugs/Activated_charcoal.json
Stable angina,,None,scripts/wikem_scraper/scraped_data/drugs/Stable_angina.json
Metal fume fever,,None,scripts/wikem_scraper/scraped_data/drugs/Metal_fume_fever.json
Phylum porifera,,None,scripts/wikem_scraper/scraped_data/drugs/Phylum_porifera.json
Flail chest,,None,scripts/wikem_scraper/scraped_data/drugs/Flail_chest.json
"Envenomations, bites and stings",,None,"scripts/wikem_scraper/scraped_data/drugs/Envenomations,_bites_and_stings.json"
Mild traumatic brain injury,,None,scripts/wikem_scraper/scraped_data/drugs/Mild_traumatic_brain_injury.json
Beers criteria,,None,scripts/wikem_scraper/scraped_data/drugs/Beers_criteria.json
Acrylonitrile toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Acrylonitrile_toxicity.json
Opthalmology eye drop colors,,None,scripts/wikem_scraper/scraped_data/drugs/Opthalmology_eye_drop_colors.json
First-time seizure,,None,scripts/wikem_scraper/scraped_data/drugs/First-time_seizure.json
Uremia,,None,scripts/wikem_scraper/scraped_data/drugs/Uremia.json
Myelophthistic anemia,,None,scripts/wikem_scraper/scraped_data/drugs/Myelophthistic_anemia.json
Extrapyramidal reaction,,None,scripts/wikem_scraper/scraped_data/drugs/Extrapyramidal_reaction.json
Argatroban,,None,scripts/wikem_scraper/scraped_data/drugs/Argatroban.json
Sulfasalazine,,None,scripts/wikem_scraper/scraped_data/drugs/Sulfasalazine.json
Herpes simplex keratitis,,None,scripts/wikem_scraper/scraped_data/drugs/Herpes_simplex_keratitis.json
Conus medullaris syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Conus_medullaris_syndrome.json
Herpes labialis,,None,scripts/wikem_scraper/scraped_data/drugs/Herpes_labialis.json
COVID-19 Vaccine (Moderna),,None,scripts/wikem_scraper/scraped_data/drugs/COVID-19_Vaccine_(Moderna).json
Tinea,,None,scripts/wikem_scraper/scraped_data/drugs/Tinea.json
T wave changes,,None,scripts/wikem_scraper/scraped_data/drugs/T_wave_changes.json
Left ventricular pseudoaneurysm,,None,scripts/wikem_scraper/scraped_data/drugs/Left_ventricular_pseudoaneurysm.json
Platelet transfusion,,None,scripts/wikem_scraper/scraped_data/drugs/Platelet_transfusion.json
Radiation proctocolitis,,None,scripts/wikem_scraper/scraped_data/drugs/Radiation_proctocolitis.json
Paraneoplastic syndromes,,None,scripts/wikem_scraper/scraped_data/drugs/Paraneoplastic_syndromes.json
Lower back pain,,None,scripts/wikem_scraper/scraped_data/drugs/Lower_back_pain.json
Perilunate and lunate dislocations,,None,scripts/wikem_scraper/scraped_data/drugs/Perilunate_and_lunate_dislocations.json
Nasopharyngeal airway,,None,scripts/wikem_scraper/scraped_data/drugs/Nasopharyngeal_airway.json
Contact lens problems,,None,scripts/wikem_scraper/scraped_data/drugs/Contact_lens_problems.json
Adrenal crisis,,None,scripts/wikem_scraper/scraped_data/drugs/Adrenal_crisis.json
Marijuana toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Marijuana_toxicity.json
Developmental dysplasia of hip,,None,scripts/wikem_scraper/scraped_data/drugs/Developmental_dysplasia_of_hip.json
Fosfomycin,fosfomycin,Exact,scripts/wikem_scraper/scraped_data/drugs/Fosfomycin.json
Brown recluse spider bite,,None,scripts/wikem_scraper/scraped_data/drugs/Brown_recluse_spider_bite.json
Sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,Exact,scripts/wikem_scraper/scraped_data/drugs/Sodium_zirconium_cyclosilicate.json
Bone loss of spaceflight,,None,scripts/wikem_scraper/scraped_data/drugs/Bone_loss_of_spaceflight.json
Blister chemical agents,,None,scripts/wikem_scraper/scraped_data/drugs/Blister_chemical_agents.json
Tetanus,tetanus,Exact,scripts/wikem_scraper/scraped_data/drugs/Tetanus.json
Itraconazole,itraconazole,Exact,scripts/wikem_scraper/scraped_data/drugs/Itraconazole.json
Pefloxacin,pefloxacin,Exact,scripts/wikem_scraper/scraped_data/drugs/Pefloxacin.json
Cytokine release syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Cytokine_release_syndrome.json
Colic,,None,scripts/wikem_scraper/scraped_data/drugs/Colic.json
Uterine rupture,,None,scripts/wikem_scraper/scraped_data/drugs/Uterine_rupture.json
Yellow fever,,None,scripts/wikem_scraper/scraped_data/drugs/Yellow_fever.json
Hypoxia,,None,scripts/wikem_scraper/scraped_data/drugs/Hypoxia.json
Tinidazole,tinidazole,Exact,scripts/wikem_scraper/scraped_data/drugs/Tinidazole.json
IgA nephropathy,,None,scripts/wikem_scraper/scraped_data/drugs/IgA_nephropathy.json
Onchocerciasis,,None,scripts/wikem_scraper/scraped_data/drugs/Onchocerciasis.json
Influenza-like illness,,None,scripts/wikem_scraper/scraped_data/drugs/Influenza-like_illness.json
Octopus bite,,None,scripts/wikem_scraper/scraped_data/drugs/Octopus_bite.json
Olanzapine,olanzapine,Exact,scripts/wikem_scraper/scraped_data/drugs/Olanzapine.json
Aortoenteric fisulta,,None,scripts/wikem_scraper/scraped_data/drugs/Aortoenteric_fisulta.json
Modified Rankin Scale,,None,scripts/wikem_scraper/scraped_data/drugs/Modified_Rankin_Scale.json
Urethral stricture,,None,scripts/wikem_scraper/scraped_data/drugs/Urethral_stricture.json
Post exposure prophylaxis antibiotics,,None,scripts/wikem_scraper/scraped_data/drugs/Post_exposure_prophylaxis_antibiotics.json
Antihistamines,,None,scripts/wikem_scraper/scraped_data/drugs/Antihistamines.json
Congenital heart disease,,None,scripts/wikem_scraper/scraped_data/drugs/Congenital_heart_disease.json
Pes anserine bursitis,,None,scripts/wikem_scraper/scraped_data/drugs/Pes_anserine_bursitis.json
Capitate fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Capitate_fracture.json
Horner syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Horner_syndrome.json
Pituitary apoplexy,,None,scripts/wikem_scraper/scraped_data/drugs/Pituitary_apoplexy.json
Carpal fractures,,None,scripts/wikem_scraper/scraped_data/drugs/Carpal_fractures.json
Serotonin syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Serotonin_syndrome.json
Vertebral osteomyelitis,,None,scripts/wikem_scraper/scraped_data/drugs/Vertebral_osteomyelitis.json
Dialysis complications,,None,scripts/wikem_scraper/scraped_data/drugs/Dialysis_complications.json
Hepatitis C,,None,scripts/wikem_scraper/scraped_data/drugs/Hepatitis_C.json
Chlorpromazine,chlorpromazine,Exact,scripts/wikem_scraper/scraped_data/drugs/Chlorpromazine.json
Hemolytic uremic syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Hemolytic_uremic_syndrome.json
Esophageal perforation,,None,scripts/wikem_scraper/scraped_data/drugs/Esophageal_perforation.json
Esmolol,esmolol,Exact,scripts/wikem_scraper/scraped_data/drugs/Esmolol.json
Lithium toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Lithium_toxicity.json
Magnesium sulfate,magnesium sulfate,Exact,scripts/wikem_scraper/scraped_data/drugs/Magnesium_sulfate.json
Multiple myeloma,,None,scripts/wikem_scraper/scraped_data/drugs/Multiple_myeloma.json
Tendons of the upper extremity,,None,scripts/wikem_scraper/scraped_data/drugs/Tendons_of_the_upper_extremity.json
Tuberculosis,,None,scripts/wikem_scraper/scraped_data/drugs/Tuberculosis.json
Neglected tropical diseases,,None,scripts/wikem_scraper/scraped_data/drugs/Neglected_tropical_diseases.json
Left posterior fascicular block,,None,scripts/wikem_scraper/scraped_data/drugs/Left_posterior_fascicular_block.json
Traumatic optic neuropathy,,None,scripts/wikem_scraper/scraped_data/drugs/Traumatic_optic_neuropathy.json
Proteus mirabilis,,None,scripts/wikem_scraper/scraped_data/drugs/Proteus_mirabilis.json
Toddler%27s fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Toddler%27s_fracture.json
Pleural effusion,,None,scripts/wikem_scraper/scraped_data/drugs/Pleural_effusion.json
Dermatologic nomenclature,,None,scripts/wikem_scraper/scraped_data/drugs/Dermatologic_nomenclature.json
Ultrasound-assisted peripheral line placement,,None,scripts/wikem_scraper/scraped_data/drugs/Ultrasound-assisted_peripheral_line_placement.json
Intracranial mass,,None,scripts/wikem_scraper/scraped_data/drugs/Intracranial_mass.json
Dental fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Dental_fracture.json
Methazolamide,,None,scripts/wikem_scraper/scraped_data/drugs/Methazolamide.json
Prisoners of war,,None,scripts/wikem_scraper/scraped_data/drugs/Prisoners_of_war.json
Transfusion infections,,None,scripts/wikem_scraper/scraped_data/drugs/Transfusion_infections.json
Ocular palsy,,None,scripts/wikem_scraper/scraped_data/drugs/Ocular_palsy.json
Acute respiratory distress syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Acute_respiratory_distress_syndrome.json
Anion Gap and Osmolar Gap (High),,None,scripts/wikem_scraper/scraped_data/drugs/Anion_Gap_and_Osmolar_Gap_(High).json
Travel medicine,,None,scripts/wikem_scraper/scraped_data/drugs/Travel_medicine.json
Oxybutynin,oxybutynin,Exact,scripts/wikem_scraper/scraped_data/drugs/Oxybutynin.json
Undifferentiated shock,,None,scripts/wikem_scraper/scraped_data/drugs/Undifferentiated_shock.json
Hymenolepis nana,,None,scripts/wikem_scraper/scraped_data/drugs/Hymenolepis_nana.json
Phencyclidine toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Phencyclidine_toxicity.json
Ankle fracture (peds),,None,scripts/wikem_scraper/scraped_data/drugs/Ankle_fracture_(peds).json
Vertebrobasilar insufficiency,,None,scripts/wikem_scraper/scraped_data/drugs/Vertebrobasilar_insufficiency.json
Awake intubation,,None,scripts/wikem_scraper/scraped_data/drugs/Awake_intubation.json
Isopropyl alcohol toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Isopropyl_alcohol_toxicity.json
Paracoccidioidomycosis,,None,scripts/wikem_scraper/scraped_data/drugs/Paracoccidioidomycosis.json
Ischemic colitis,,None,scripts/wikem_scraper/scraped_data/drugs/Ischemic_colitis.json
Strychnine,,None,scripts/wikem_scraper/scraped_data/drugs/Strychnine.json
Renal adjusted antibiotics,,None,scripts/wikem_scraper/scraped_data/drugs/Renal_adjusted_antibiotics.json
Systemic inflammatory response syndrome,,None,scripts/wikem_scraper/scraped_data/drugs/Systemic_inflammatory_response_syndrome.json
