ingredient,nbk_id,url
amoxicillin,NBK538164,https://www.ncbi.nlm.nih.gov/books/NBK538164/
amorolfine,NBK470421,https://www.ncbi.nlm.nih.gov/books/NBK470421/
amla,NO_MATCH,
amphotericin b,NBK482327,https://www.ncbi.nlm.nih.gov/books/NBK482327/
amphotericin-b,NBK482327,https://www.ncbi.nlm.nih.gov/books/NBK482327/
amphotericin b liposomal,NBK563297,https://www.ncbi.nlm.nih.gov/books/NBK563297/
amphotrecin b,NBK546667,https://www.ncbi.nlm.nih.gov/books/NBK546667/
ampicillin,NBK526117,https://www.ncbi.nlm.nih.gov/books/NBK526117/
ampizapine,NO_MATCH,
amygadalus,NO_MATCH,
amyl salicylate,NO_MATCH,
amylmetacresol,NO_MATCH,
amylocaine,NO_MATCH,
anagain,NO_MATCH,
analgine,NO_MATCH,
anastrozole,NBK578191,https://www.ncbi.nlm.nih.gov/books/NBK578191/
anchusa,NO_MATCH,
and ecoslim caffeine,NBK519490,https://www.ncbi.nlm.nih.gov/books/NBK519490/
and magnesium,NBK500003,https://www.ncbi.nlm.nih.gov/books/NBK500003/
amino fluoride,NO_MATCH,
anethol,NO_MATCH,
amylase,NBK557738,https://www.ncbi.nlm.nih.gov/books/NBK557738/
anagrelide,NBK499949,https://www.ncbi.nlm.nih.gov/books/NBK499949/
ancrine,NO_MATCH,
and panthenol,NBK565884,https://www.ncbi.nlm.nih.gov/books/NBK565884/
anhydrous lanolin,NBK537176,https://www.ncbi.nlm.nih.gov/books/NBK537176/
anidulafungin,NBK563297,https://www.ncbi.nlm.nih.gov/books/NBK563297/
anifrolumab-fnia,NO_MATCH,
anise flavour,NO_MATCH,
aniracetam,NO_MATCH,
anise fruits,NO_MATCH,
anis,NBK582123,https://www.ncbi.nlm.nih.gov/books/NBK582123/
anise,NBK559224,https://www.ncbi.nlm.nih.gov/books/NBK559224/
anise ext,NO_MATCH,
anise fruit,NO_MATCH,
antazoline,NBK448118,https://www.ncbi.nlm.nih.gov/books/NBK448118/
anise-caraway-chamomile-fennel fruit-liq,NO_MATCH,
antarcticin,NO_MATCH,
anthraquinone glycoside,NBK493146,https://www.ncbi.nlm.nih.gov/books/NBK493146/
anti dandruff,NBK604215,https://www.ncbi.nlm.nih.gov/books/NBK604215/
anti-regurgitation milk formula,NO_MATCH,
anti-acne,NBK557478,https://www.ncbi.nlm.nih.gov/books/NBK557478/
anti oxidant,NBK585106,https://www.ncbi.nlm.nih.gov/books/NBK585106/
antimicrobial enzymes,NBK559163,https://www.ncbi.nlm.nih.gov/books/NBK559163/
antioxidantstocopherol,NO_MATCH,
antifoam m,NBK610681,https://www.ncbi.nlm.nih.gov/books/NBK610681/
antioxidants,NBK541064,https://www.ncbi.nlm.nih.gov/books/NBK541064/
anise seeds,NO_MATCH,
antiseptic soap,NBK459175,https://www.ncbi.nlm.nih.gov/books/NBK459175/
antipyrine,NBK594277,https://www.ncbi.nlm.nih.gov/books/NBK594277/
anthralin,NBK537000,https://www.ncbi.nlm.nih.gov/books/NBK537000/
apigenin,NBK589635,https://www.ncbi.nlm.nih.gov/books/NBK589635/
apixaban,NBK507910,https://www.ncbi.nlm.nih.gov/books/NBK507910/
amylase 25000 usp,NO_MATCH,
apple cidar vinegar,NBK535354,https://www.ncbi.nlm.nih.gov/books/NBK535354/
apignen,NO_MATCH,
apiole,NO_MATCH,
apple pectin,NO_MATCH,
apolactoferrin,NO_MATCH,
apple cider vinegar,NO_MATCH,
apple vinegar,NBK535354,https://www.ncbi.nlm.nih.gov/books/NBK535354/
apple fibers,NO_MATCH,
apricot shell granules,NO_MATCH,
aprepitant,NBK551588,https://www.ncbi.nlm.nih.gov/books/NBK551588/
aqua,NBK618378,https://www.ncbi.nlm.nih.gov/books/NBK618378/
aqua selenium sulphide,NO_MATCH,
apalutamide,NBK585126,https://www.ncbi.nlm.nih.gov/books/NBK585126/
apricot,NBK534878,https://www.ncbi.nlm.nih.gov/books/NBK534878/
aquaxyl,NO_MATCH,
arachis,NO_MATCH,
aranica,NO_MATCH,
arbutin,NBK544223,https://www.ncbi.nlm.nih.gov/books/NBK544223/
arctium lappa,NBK542208,https://www.ncbi.nlm.nih.gov/books/NBK542208/
argan,NO_MATCH,
argania,NO_MATCH,
aqua.,NBK618378,https://www.ncbi.nlm.nih.gov/books/NBK618378/
arginine,NBK470458,https://www.ncbi.nlm.nih.gov/books/NBK470458/
apple stem cells,NO_MATCH,
arginine aspartate,NO_MATCH,
argireline,NO_MATCH,
argnine,NO_MATCH,
aripiprazole,NBK547739,https://www.ncbi.nlm.nih.gov/books/NBK547739/
armodafinil,NBK589670,https://www.ncbi.nlm.nih.gov/books/NBK589670/
arnica ext,NO_MATCH,
arginin,NO_MATCH,
arginine hcl,NBK470284,https://www.ncbi.nlm.nih.gov/books/NBK470284/
apricote,NO_MATCH,
artemether,NBK551711,https://www.ncbi.nlm.nih.gov/books/NBK551711/
arnica montana,NBK558970,https://www.ncbi.nlm.nih.gov/books/NBK558970/
arnica tincture,NO_MATCH,
artemisia,NBK470158,https://www.ncbi.nlm.nih.gov/books/NBK470158/
articaine hydrochloride 4%,NBK610935,https://www.ncbi.nlm.nih.gov/books/NBK610935/
antiseptic,NO_MATCH,
asciminib,NBK560490,https://www.ncbi.nlm.nih.gov/books/NBK560490/
artichoke,NBK560795,https://www.ncbi.nlm.nih.gov/books/NBK560795/
ascorbic acid,NBK499877,https://www.ncbi.nlm.nih.gov/books/NBK499877/
arnica,NBK558970,https://www.ncbi.nlm.nih.gov/books/NBK558970/
ascorbi,NO_MATCH,
ascorpic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
ashoganda,NO_MATCH,
ascorbyl palmitate,NBK544223,https://www.ncbi.nlm.nih.gov/books/NBK544223/
artesunate,NBK551711,https://www.ncbi.nlm.nih.gov/books/NBK551711/
articaine,NBK610935,https://www.ncbi.nlm.nih.gov/books/NBK610935/
ashwaganda,NO_MATCH,
ashwagandha,NO_MATCH,
asenapine,NBK603738,https://www.ncbi.nlm.nih.gov/books/NBK603738/
aspirin,NBK519032,https://www.ncbi.nlm.nih.gov/books/NBK519032/
ashwagnda,NO_MATCH,
atenolol,NBK539844,https://www.ncbi.nlm.nih.gov/books/NBK539844/
asorbic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
aspartame,NBK534248,https://www.ncbi.nlm.nih.gov/books/NBK534248/
aspergillus enzymes,NBK585050,https://www.ncbi.nlm.nih.gov/books/NBK585050/
atomoxetine,NBK493234,https://www.ncbi.nlm.nih.gov/books/NBK493234/
atp-co-carboxylase-nicotinamide,NO_MATCH,
atorvastatin,NBK430779,https://www.ncbi.nlm.nih.gov/books/NBK430779/
atrichoke,NO_MATCH,
atezolizumab,NBK567758,https://www.ncbi.nlm.nih.gov/books/NBK567758/
atosiban,NBK572097,https://www.ncbi.nlm.nih.gov/books/NBK572097/
atracurium besylate,NBK499995,https://www.ncbi.nlm.nih.gov/books/NBK499995/
atropine,NBK559300,https://www.ncbi.nlm.nih.gov/books/NBK559300/
aroma,NBK616081,https://www.ncbi.nlm.nih.gov/books/NBK616081/
atropine sulphate,NBK559300,https://www.ncbi.nlm.nih.gov/books/NBK559300/
auxiliary substances,NO_MATCH,
auxoform,NO_MATCH,
avanafil,NBK559276,https://www.ncbi.nlm.nih.gov/books/NBK559276/
avibactam,NBK572123,https://www.ncbi.nlm.nih.gov/books/NBK572123/
avocado,NBK534810,https://www.ncbi.nlm.nih.gov/books/NBK534810/
avocado ext,NO_MATCH,
avobenzone,NBK537164,https://www.ncbi.nlm.nih.gov/books/NBK537164/
avocado ext.,NO_MATCH,
avocado peptides,NO_MATCH,
avocado soya bean,NBK534810,https://www.ncbi.nlm.nih.gov/books/NBK534810/
avocado soybean,NBK564301,https://www.ncbi.nlm.nih.gov/books/NBK564301/
avocadosoyabean,NO_MATCH,
avocado butter,NBK534810,https://www.ncbi.nlm.nih.gov/books/NBK534810/
avocado perseose,NBK534810,https://www.ncbi.nlm.nih.gov/books/NBK534810/
avocadosoyaben unsaponifible,NO_MATCH,
avicel,NO_MATCH,
azathioprine,NBK542190,https://www.ncbi.nlm.nih.gov/books/NBK542190/
azacitidine,NBK611988,https://www.ncbi.nlm.nih.gov/books/NBK611988/
azelastine,NBK568690,https://www.ncbi.nlm.nih.gov/books/NBK568690/
azilsartan,NBK538473,https://www.ncbi.nlm.nih.gov/books/NBK538473/
azelic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
azithomycin,NO_MATCH,
avena sativa,NO_MATCH,
azelaic acid,NBK582127,https://www.ncbi.nlm.nih.gov/books/NBK582127/
aztreonam,NBK441841,https://www.ncbi.nlm.nih.gov/books/NBK441841/
b carotine,NBK546667,https://www.ncbi.nlm.nih.gov/books/NBK546667/
azintamide,NO_MATCH,
astaxinthin,NO_MATCH,
axitinib,NBK589700,https://www.ncbi.nlm.nih.gov/books/NBK589700/
b-sitosterol,NO_MATCH,
b.h.a,NO_MATCH,
b- sitosterol,NBK546667,https://www.ncbi.nlm.nih.gov/books/NBK546667/
b.h.t,NO_MATCH,
b.sitosterol,NO_MATCH,
b-complex,NBK592383,https://www.ncbi.nlm.nih.gov/books/NBK592383/
b12 & d3,NBK597352,https://www.ncbi.nlm.nih.gov/books/NBK597352/
b12 =100 microgram,NO_MATCH,
b2-copper-manganse-iodin-vit c-calcium,NBK597352,https://www.ncbi.nlm.nih.gov/books/NBK597352/
b 12,NBK615299,https://www.ncbi.nlm.nih.gov/books/NBK615299/
b complex,NBK592383,https://www.ncbi.nlm.nih.gov/books/NBK592383/
b9 folic acid,NBK546667,https://www.ncbi.nlm.nih.gov/books/NBK546667/
bacillus clausii spores,NO_MATCH,
bacillus coagulans spores,NO_MATCH,
bacillus subtilu,NBK538185,https://www.ncbi.nlm.nih.gov/books/NBK538185/
bacitracin,NBK536993,https://www.ncbi.nlm.nih.gov/books/NBK536993/
baclofen,NBK580550,https://www.ncbi.nlm.nih.gov/books/NBK580550/
bacopa monnerei,NBK589635,https://www.ncbi.nlm.nih.gov/books/NBK589635/
bacterial lysate,NO_MATCH,
bacoside,NBK589635,https://www.ncbi.nlm.nih.gov/books/NBK589635/
baicapil,NO_MATCH,
bakuchiol,NO_MATCH,
bakuchiol 0.5%,NO_MATCH,
baloxavir marboxil,NBK553072,https://www.ncbi.nlm.nih.gov/books/NBK553072/
babong,NO_MATCH,
balsam peru,NO_MATCH,
azithromycin,NBK557766,https://www.ncbi.nlm.nih.gov/books/NBK557766/
bambuterol,NBK554445,https://www.ncbi.nlm.nih.gov/books/NBK554445/
barbadensisleafjuice,NO_MATCH,
baricitinib,NBK589640,https://www.ncbi.nlm.nih.gov/books/NBK589640/
basel vinegar,NBK587340,https://www.ncbi.nlm.nih.gov/books/NBK587340/
basiliximab,NBK572065,https://www.ncbi.nlm.nih.gov/books/NBK572065/
balm mint,NO_MATCH,
bddfgdbfg,NO_MATCH,
balsalazide,NBK551714,https://www.ncbi.nlm.nih.gov/books/NBK551714/
be nfotiamin,NO_MATCH,
basil,NBK534810,https://www.ncbi.nlm.nih.gov/books/NBK534810/
bearberry,NO_MATCH,
bearberry ext,NO_MATCH,
bamethan,NO_MATCH,
bearberry ext.,NO_MATCH,
bearbery,NO_MATCH,
beclomethasone,NBK597383,https://www.ncbi.nlm.nih.gov/books/NBK597383/
beclomethasone dipropionate,NBK597383,https://www.ncbi.nlm.nih.gov/books/NBK597383/
bee honey,NO_MATCH,
barium sulfate,NBK574548,https://www.ncbi.nlm.nih.gov/books/NBK574548/
bcoplex,NO_MATCH,
bee pollen,NBK599550,https://www.ncbi.nlm.nih.gov/books/NBK599550/
bee propalis,NBK614173,https://www.ncbi.nlm.nih.gov/books/NBK614173/
bee propolis,NBK609094,https://www.ncbi.nlm.nih.gov/books/NBK609094/
bearberry ex,NBK604209,https://www.ncbi.nlm.nih.gov/books/NBK604209/
bee propolis 0.3%,NBK609094,https://www.ncbi.nlm.nih.gov/books/NBK609094/
beepropolis,NO_MATCH,
bee venom,NBK604196,https://www.ncbi.nlm.nih.gov/books/NBK604196/
bees honey,NO_MATCH,
