ingredient,nbk_id,title,url
calcium 210 mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium 400mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium 800mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium acetate,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium*,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
canagliflozin,NBK603733,Canagliflozin,https://www.ncbi.nlm.nih.gov/books/NBK603733/
carbidopa,NBK599508,Levodopa/Carbidopa/Entacapone Combination Therapy,https://www.ncbi.nlm.nih.gov/books/NBK599508/
carboplatin,NBK617056,"Table 1. Frequency and Key Risk Factors of Platinum Hypersensitivity Reactions Associated with Cisplatin, Carboplatin, and Oxaliplatin",https://www.ncbi.nlm.nih.gov/books/NBK617056/
cefotaxime,NBK599503,Cefuroxime,https://www.ncbi.nlm.nih.gov/books/NBK599503/
cefuroxime,NBK599503,Cefuroxime,https://www.ncbi.nlm.nih.gov/books/NBK599503/
chromium,NBK599502,Chromium Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599502/
chromium 0.498 mg,NBK599502,Chromium Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599502/
chromium 100 iu,NBK599502,Chromium Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599502/
chromium 50 mcg,NBK599502,Chromium Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599502/
chromium 804.4 mcg,NBK599502,Chromium Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599502/
cisplatin,NBK617056,"Table 1. Frequency and Key Risk Factors of Platinum Hypersensitivity Reactions Associated with Cisplatin, Carboplatin, and Oxaliplatin",https://www.ncbi.nlm.nih.gov/books/NBK617056/
citrate,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
cl,NBK560567,Table 1. 2016 World Health Organization Classification,https://www.ncbi.nlm.nih.gov/books/NBK560567/
cla,NBK560567,Table 1. 2016 World Health Organization Classification,https://www.ncbi.nlm.nih.gov/books/NBK560567/
cr,NBK556105,Table 2. Diagnostic Criteria for CAA–Related Inflammation (CAA-RI),https://www.ncbi.nlm.nih.gov/books/NBK556105/
cu,NBK560567,Table 2. Endoscopic Third Ventriculostomy Success Score,https://www.ncbi.nlm.nih.gov/books/NBK560567/
cyclosporin,NBK592419,Voclosporin,https://www.ncbi.nlm.nih.gov/books/NBK592419/
d,NBK482370,Pearls and Other Issues,https://www.ncbi.nlm.nih.gov/books/NBK482370/
d),NBK482370,Pearls and Other Issues,https://www.ncbi.nlm.nih.gov/books/NBK482370/
dalteparin sodium,NBK603711,Dalteparin,https://www.ncbi.nlm.nih.gov/books/NBK603711/
dapagliflozin,NBK603733,Canagliflozin,https://www.ncbi.nlm.nih.gov/books/NBK603733/
de,NBK560668,Deterrence and Patient Education,https://www.ncbi.nlm.nih.gov/books/NBK560668/
dextromethorphan,NBK604212,Dextromethorphan Guaifenesin,https://www.ncbi.nlm.nih.gov/books/NBK604212/
dill,NBK500015,Table 2. Cardillo Tracheal Injury Classification,https://www.ncbi.nlm.nih.gov/books/NBK500015/
dipyridamole,NBK544321,Table. Dipyridamole Effects on Adenosine Receptors,https://www.ncbi.nlm.nih.gov/books/NBK544321/
dulaglutide,NBK608007,Liraglutide,https://www.ncbi.nlm.nih.gov/books/NBK608007/
dutasteride,NBK603726,Dutasteride,https://www.ncbi.nlm.nih.gov/books/NBK603726/
e,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
e k),NBK549887,Table 5. Long-Term Visual Outcomes After Photorefractive Keratectomy,https://www.ncbi.nlm.nih.gov/books/NBK549887/
e),NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
eba,NBK610689,Sebaceous Carcinoma,https://www.ncbi.nlm.nih.gov/books/NBK610689/
eletriptan,NBK599497,Eletriptan,https://www.ncbi.nlm.nih.gov/books/NBK599497/
entacapone,NBK599508,Levodopa/Carbidopa/Entacapone Combination Therapy,https://www.ncbi.nlm.nih.gov/books/NBK599508/
epa,NBK587440,Preparation,https://www.ncbi.nlm.nih.gov/books/NBK587440/
epa 429 mg,NBK587440,Preparation,https://www.ncbi.nlm.nih.gov/books/NBK587440/
epa 5%),NBK587440,Preparation,https://www.ncbi.nlm.nih.gov/books/NBK587440/
epa),NBK587440,Preparation,https://www.ncbi.nlm.nih.gov/books/NBK587440/
erica,NBK525980,Table. Blood Pressure Classification for Adults According to the 2017 American College of Cardiology and American Heart Association Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK525980/
eru,NBK538255,Table 2. Histopathological Characteristics of Bacterial Infection-Related Glomerulonephritis,https://www.ncbi.nlm.nih.gov/books/NBK538255/
ethyl acetate,NBK594255,Trimethylaminuria,https://www.ncbi.nlm.nih.gov/books/NBK594255/
extract,NBK592391,"Oral Surgery, Extraction of Unerupted Teeth",https://www.ncbi.nlm.nih.gov/books/NBK592391/
f,NBK587440,"Nursing, Allied Health, and Interprofessional Team Monitoring",https://www.ncbi.nlm.nih.gov/books/NBK587440/
f),NBK587440,"Nursing, Allied Health, and Interprofessional Team Monitoring",https://www.ncbi.nlm.nih.gov/books/NBK587440/
fat,NBK430833,Table 2. Nonfatal Drowning Categorization Framework,https://www.ncbi.nlm.nih.gov/books/NBK430833/
fe,NBK587440,"Nursing, Allied Health, and Interprofessional Team Monitoring",https://www.ncbi.nlm.nih.gov/books/NBK587440/
fingolimod,NBK604198,Fingolimod,https://www.ncbi.nlm.nih.gov/books/NBK604198/
flibanserin,NBK589649,Flibanserin,https://www.ncbi.nlm.nih.gov/books/NBK589649/
fluvoxamine maleate,NBK619811,Fluvoxamine,https://www.ncbi.nlm.nih.gov/books/NBK619811/
g,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
gemifloxacin,NBK599511,Moxifloxacin,https://www.ncbi.nlm.nih.gov/books/NBK599511/
gl,NBK556033,Table 2. Global Infertility Prevalence and Contributing Factors,https://www.ncbi.nlm.nih.gov/books/NBK556033/
gla,NBK513298,Table. Modified Pediatric Glasgow Coma Scale ,https://www.ncbi.nlm.nih.gov/books/NBK513298/
glucose,NBK549816,Table. Relationship Between HbA1c and Average Glucose Levels,https://www.ncbi.nlm.nih.gov/books/NBK549816/
glucose 40%,NBK549816,Table. Relationship Between HbA1c and Average Glucose Levels,https://www.ncbi.nlm.nih.gov/books/NBK549816/
glyce,NBK546667,Table 12. Causes of Hypoglycemia After RYGB,https://www.ncbi.nlm.nih.gov/books/NBK546667/
glycol,NBK541119,Table 1. Effect of Different Hormones on Key Glycolytic and Gluconeogenic Enzymes,https://www.ncbi.nlm.nih.gov/books/NBK541119/
gm,NBK614165,Anterior Segment Optical Coherence Tomography,https://www.ncbi.nlm.nih.gov/books/NBK614165/
gm),NBK614165,Anterior Segment Optical Coherence Tomography,https://www.ncbi.nlm.nih.gov/books/NBK614165/
gre,NBK618378,Table 9. Progressive Resistance Training Protocol,https://www.ncbi.nlm.nih.gov/books/NBK618378/
guaifenesin,NBK604212,Dextromethorphan Guaifenesin,https://www.ncbi.nlm.nih.gov/books/NBK604212/
ha,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
heparin,NBK441880,Table 2. Heparin Regimen Options,https://www.ncbi.nlm.nih.gov/books/NBK441880/
heparin calcium,NBK441880,Table 2. Heparin Regimen Options,https://www.ncbi.nlm.nih.gov/books/NBK441880/
heparin sodium,NBK441880,Table 2. Heparin Regimen Options,https://www.ncbi.nlm.nih.gov/books/NBK441880/
hepatitis b,NBK565864,Table 2. Post-Exposure Treatment of Healthcare Personnel Based on Hepatitis B Vaccination and Serologic Status,https://www.ncbi.nlm.nih.gov/books/NBK565864/
iga,NBK557533,Table. The 2020 Guidelines for Stillbirth Investigation,https://www.ncbi.nlm.nih.gov/books/NBK557533/
igm,NBK599559,Prurigo Pigmentosa,https://www.ncbi.nlm.nih.gov/books/NBK599559/
iron,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 11mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 14 mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 17mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 20 mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 28 mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 30 mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 45 mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 7mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron 8mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron...,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
iron35mg,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
isotretinoin,NBK525949,Table 1. Available Oral Isotretinoin Formulations and Brand Names,https://www.ncbi.nlm.nih.gov/books/NBK525949/
k,NBK589709,Table. The 2HELPS2B Calculation and Risk Stratification,https://www.ncbi.nlm.nih.gov/books/NBK589709/
k),NBK589709,Table. The 2HELPS2B Calculation and Risk Stratification,https://www.ncbi.nlm.nih.gov/books/NBK589709/
kale),NBK482465,Table 2. Hypokalemia Differential Diagnosis Based on Blood pH,https://www.ncbi.nlm.nih.gov/books/NBK482465/
l,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
lactose,NBK532285,Table 1. Key Points to Remember About Lactose Intolerance,https://www.ncbi.nlm.nih.gov/books/NBK532285/
le,NBK560567,Table 4. Prognosis Summary of Pineal Region Tumors,https://www.ncbi.nlm.nih.gov/books/NBK560567/
lecithin,NBK603731,Lecithin-Cholesterol Acyltransferase Deficiency,https://www.ncbi.nlm.nih.gov/books/NBK603731/
levodopa,NBK599508,Levodopa/Carbidopa/Entacapone Combination Therapy,https://www.ncbi.nlm.nih.gov/books/NBK599508/
levothyroxine,NBK538485,Table. Dosing in levothyroxine-naïve hypothyroidism individuals diagnosed during pregnancy ,https://www.ncbi.nlm.nih.gov/books/NBK538485/
liraglutide,NBK608007,Liraglutide,https://www.ncbi.nlm.nih.gov/books/NBK608007/
lysi,NBK459334,Table 2. Standard Reference Ranges for Urine Analysis in Drug Screening,https://www.ncbi.nlm.nih.gov/books/NBK459334/
lysin 80 mg,NBK594238,Table 2. Age-Dependent Upper Normal Limits for Antistreptolysin O and Antideoxyribonuclease B Antibody Titers for Areas of Endemic Group A Streptococcus Disease,https://www.ncbi.nlm.nih.gov/books/NBK594238/
m,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
me,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
mental,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
met,NBK570558,Table 3. Toxicokinetic Parameters and Their Relevance to Duane Retraction Syndrome,https://www.ncbi.nlm.nih.gov/books/NBK570558/
methy,NBK594255,Trimethylaminuria,https://www.ncbi.nlm.nih.gov/books/NBK594255/
mianserin,NBK589649,Flibanserin,https://www.ncbi.nlm.nih.gov/books/NBK589649/
ml,NBK603716,Table 1. Features of Genetically Defined AML,https://www.ncbi.nlm.nih.gov/books/NBK603716/
mn,NBK562140,"Table. Definitions of Mild, Moderate, and Severe Polyhydramnios",https://www.ncbi.nlm.nih.gov/books/NBK562140/
mo,NBK587440,"Nursing, Allied Health, and Interprofessional Team Monitoring",https://www.ncbi.nlm.nih.gov/books/NBK587440/
moxifloxacin,NBK599511,Moxifloxacin,https://www.ncbi.nlm.nih.gov/books/NBK599511/
ms,NBK570558,Table 1. Etiological Categories and Mechanisms of Duane Retraction Syndrome,https://www.ncbi.nlm.nih.gov/books/NBK570558/
mupirocin,NBK599499,Mupirocin,https://www.ncbi.nlm.nih.gov/books/NBK599499/
naloxone,NBK603725,Buprenorphine and Naloxone,https://www.ncbi.nlm.nih.gov/books/NBK603725/
naltrexone,NBK618375,Table 5. Naltrexone-Bupropion Clinical Profile,https://www.ncbi.nlm.nih.gov/books/NBK618375/
naltrexone hydrochloride,NBK618375,Table 5. Naltrexone-Bupropion Clinical Profile,https://www.ncbi.nlm.nih.gov/books/NBK618375/
nicotinamide,NBK594229,Mohs Micrographic Surgery: Chemoprophylaxis Options for Nicotinamide and Oral Retinoids,https://www.ncbi.nlm.nih.gov/books/NBK594229/
ofloxacin,NBK599511,Moxifloxacin,https://www.ncbi.nlm.nih.gov/books/NBK599511/
olamine,NBK599553,"Table 3. Summary of non-catecholamine therapies for the treatment of vasoplegic syndrome, dosing, mechanism of action, adverse effects, and advantages",https://www.ncbi.nlm.nih.gov/books/NBK599553/
orange,NBK594243,Agent Orange Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK594243/
orlistat,NBK618375,Table 6. Orlistat Clinical Profile,https://www.ncbi.nlm.nih.gov/books/NBK618375/
ors,NBK560567,Table 4. Prognosis Summary of Pineal Region Tumors,https://www.ncbi.nlm.nih.gov/books/NBK560567/
other,NBK482370,Pearls and Other Issues,https://www.ncbi.nlm.nih.gov/books/NBK482370/
oxaliplatin,NBK617056,"Table 1. Frequency and Key Risk Factors of Platinum Hypersensitivity Reactions Associated with Cisplatin, Carboplatin, and Oxaliplatin",https://www.ncbi.nlm.nih.gov/books/NBK617056/
p,NBK482370,Pearls and Other Issues,https://www.ncbi.nlm.nih.gov/books/NBK482370/
p.o.,NBK553107,Table. Flap Options for Common Anatomic Sites of Pressure Injuries [18],https://www.ncbi.nlm.nih.gov/books/NBK553107/
palatable taste,NBK551714,Table,https://www.ncbi.nlm.nih.gov/books/NBK551714/
pan,NBK551613,Table 3. Pancreatic NET Staging,https://www.ncbi.nlm.nih.gov/books/NBK551613/
pea,NBK482370,Pearls and Other Issues,https://www.ncbi.nlm.nih.gov/books/NBK482370/
pemetrexed,NBK606090,Pemetrexed,https://www.ncbi.nlm.nih.gov/books/NBK606090/
photo-stable,NBK551714,Table,https://www.ncbi.nlm.nih.gov/books/NBK551714/
photostable uva and uvb filters,NBK551714,Table,https://www.ncbi.nlm.nih.gov/books/NBK551714/
polidocanol,NBK599526,Table 2. Size requirements for STS and Polidocanol based on concentration.,https://www.ncbi.nlm.nih.gov/books/NBK599526/
pro,NBK587440,"Nursing, Allied Health, and Interprofessional Team Monitoring",https://www.ncbi.nlm.nih.gov/books/NBK587440/
prop,NBK545193,Table. Proposed Diagnostic Criteria,https://www.ncbi.nlm.nih.gov/books/NBK545193/
protein,NBK613290,"Biochemistry, Intermediate Density Lipoprotein",https://www.ncbi.nlm.nih.gov/books/NBK613290/
pu,NBK560880,Table 4. Common Differential Diagnoses of Extrinsic Pulmonary Restriction,https://www.ncbi.nlm.nih.gov/books/NBK560880/
r,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
remdesivir,NBK589640,Safe and Effective Use of Baricitinib and Remdesivir in Hospitalized Patients With Coronavirus (COVID-19),https://www.ncbi.nlm.nih.gov/books/NBK589640/
romiplostim,NBK599500,Table 1. Dosage Adjustments for Romiplostim as per the FDA Label,https://www.ncbi.nlm.nih.gov/books/NBK599500/
ros,NBK619810,Table 1. A Comparison Between Holmium Laser Enucleation of the Prostate and Thulium Laser Enucleation of the Prostate,https://www.ncbi.nlm.nih.gov/books/NBK619810/
rosuvastatin,NBK539883,Table 1. Drug-Drug Interactions and Associated Clinical Recommendations for Rosuvastatin,https://www.ncbi.nlm.nih.gov/books/NBK539883/
sage,NBK482325,Table 3. Dosage of Pancreatic Enzyme Replacement Therapy,https://www.ncbi.nlm.nih.gov/books/NBK482325/
se,NBK430874,"Table 1. Bartonella spp: Main Clinical Syndrome, Vector, and Reservoir",https://www.ncbi.nlm.nih.gov/books/NBK430874/
semaglutide,NBK603723,Semaglutide,https://www.ncbi.nlm.nih.gov/books/NBK603723/
sevelamer,NBK607999,Sevelamer,https://www.ncbi.nlm.nih.gov/books/NBK607999/
sh 0.1%,NBK499965,Table 2. Common Causes of Dyspnea and Their Distinguishing Clinical Features,https://www.ncbi.nlm.nih.gov/books/NBK499965/
sident,NBK610690,Table. Delusional Misidentification Syndromes and Subtypes ,https://www.ncbi.nlm.nih.gov/books/NBK610690/
silica,NBK599506,"Dental Materials: Biodentine, a Calcium Silicate Bioactive",https://www.ncbi.nlm.nih.gov/books/NBK599506/
silico,NBK594245,Silicosis,https://www.ncbi.nlm.nih.gov/books/NBK594245/
sms,NBK570558,Table 1. Etiological Categories and Mechanisms of Duane Retraction Syndrome,https://www.ncbi.nlm.nih.gov/books/NBK570558/
somatostatin,NBK551613,Table 1. Somatostatinoma Associated Syndromes,https://www.ncbi.nlm.nih.gov/books/NBK551613/
standardized,NBK499817,Table 1. Standardized Classification System for Lupus Nephritis,https://www.ncbi.nlm.nih.gov/books/NBK499817/
tadalafil,NBK603743,Tadalafil,https://www.ncbi.nlm.nih.gov/books/NBK603743/
tar,NBK539705,Table 3. Overview of the Plantar Intrinsic Foot Muscles,https://www.ncbi.nlm.nih.gov/books/NBK539705/
tetrazepam,NBK599496,Temazepam,https://www.ncbi.nlm.nih.gov/books/NBK599496/
thy,NBK560583,Table 9. Prognostic Indicators in Compressive Optic Neuropathy,https://www.ncbi.nlm.nih.gov/books/NBK560583/
thyroxine,NBK538485,Table. Dosing in levothyroxine-naïve hypothyroidism individuals diagnosed during pregnancy ,https://www.ncbi.nlm.nih.gov/books/NBK538485/
ticagrelor,NBK594269,Cangrelor,https://www.ncbi.nlm.nih.gov/books/NBK594269/
topiramate,NBK618375,Table 4. Phentermine-Topiramate Clinical Profile,https://www.ncbi.nlm.nih.gov/books/NBK618375/
tretinoin,NBK525949,Table 1. Available Oral Isotretinoin Formulations and Brand Names,https://www.ncbi.nlm.nih.gov/books/NBK525949/
triethylamine,NBK594255,Trimethylaminuria,https://www.ncbi.nlm.nih.gov/books/NBK594255/
type 2,NBK592412,Table 2. Bariatric Surgery Outcomes and Recommendations in Patients With Type 2 Diabetes ,https://www.ncbi.nlm.nih.gov/books/NBK592412/
urea,NBK599513,Nitrosoureas Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599513/
urea 10%,NBK599513,Nitrosoureas Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599513/
uva,NBK539883,Table 1. Drug-Drug Interactions and Associated Clinical Recommendations for Rosuvastatin,https://www.ncbi.nlm.nih.gov/books/NBK539883/
v,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
ve,NBK560567,Table 2. Endoscopic Third Ventriculostomy Success Score,https://www.ncbi.nlm.nih.gov/books/NBK560567/
