id,drug_id,food_name,severity,description,management_text,mechanism_flags,reference_text
11,DDInter1020,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
12,DDInter1001,grapefruit juice,Moderate,Grapefruit juice may increase the plasma concentrations of ixabepilone.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,Patients treated with ixabepilone should avoid the consumption of grapefruit or grapefruit juice.,,
13,DDInter1023,food,Moderate,"Lanthanum carbonate should be administered with food for therapeutic efficacy.  However, it is insoluble in water (<0.01 mg/mL at pH 7.5) and therefore cannot be dissolved in liquid for administration through an enteral feeding tube, because it may result in blockage of the tube.",Administration of lanthanum carbonate with enteral feedings is not recommended.  Alternative medications such as calcium carbonate suspension should be considered.,,
14,DDInter1024,grapefruit juice,Moderate,Grapefruit juice may increase the plasma concentrations of lapatinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,Patients treated with lapatinib should preferably avoid the consumption of grapefruit or grapefruit juice.  The manufacturer recommends that lapatinib be administered at least one hour before or one hour after a meal.  The lapatinib dose is administered once daily and should not be divided.,,
15,DDInter1021,food,Moderate,"Due to their gastrointestinal pharmacologic effects, somatostatin analogs (e.g., octreotide, lanreotide) may variously affect the absorption of dietary nutrients and concomitantly administered oral medications.  Somatostatin analogs have been shown to prolong gastrointestinal transit time and inhibit intestinal absorption of some nutrients such as fat.","Clinicians should be aware of the potential for altered absorption of concomitantly administered oral medications during treatment with somatostatin analogs.  Blood levels and clinical response should be monitored, particularly for drugs that have a narrow therapeutic index, and the dosages adjusted as necessary.",,
16,DDInter1026,grapefruit juice,Moderate,Grapefruit juice may increase the plasma concentrations of larotrectinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated metabolism of larotrectinib by certain compounds present in grapefruit.,Larotrectinib may be taken with or without food.  Patients should avoid the consumption of grapefruit and grapefruit juice during treatment.,,
17,DDInter1033,alcohol,Moderate,The consumption of alcohol during therapy with leflunomide may potentiate the risk of liver injury.,Patients should be advised to avoid excessive alcohol use during leflunomide treatment.,,
18,DDInter1032,high-fat foods,Moderate,"Food may reduce the oral bioavailability of lefamulin.  When a single 600 mg oral dose of lefamulin was administered with a high-calorie, high-fat breakfast (800 to 1000 calories; approximately 50% from fat), lefamulin peak plasma concentration (Cmax) and systemic exposure (AUC) decreased by approximately 23% and 18%, respectively.",Lefamulin tablets should be taken at least one hour before or two hours after a meal.  Patients should preferably avoid or limit the consumption of grapefruit and grapefruit juice during treatment with lefamulin.,,
19,DDInter1032,grapefruit juice,Moderate,Food may reduce the oral bioavailability of lefamulin.,Lefamulin tablets should be taken at least one hour before or two hours after a meal.  Patients should preferably avoid or limit the consumption of grapefruit and grapefruit juice during treatment with lefamulin.,,
20,DDInter1034,alcohol,Major,"Alcohol may increase the plasma concentrations and potentiate some of the pharmacologic effects of the central nervous system (CNS)-active agent, lemborexant.  Coadministration with alcohol increased the peak plasma concentration (Cmax) and systemic exposure (AUC) of lemborexant by 35% and 70%, respectively; however, the mechanism of the interaction has not been established.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","According to the manufacturer, due to their potentially additive effects, the concomitant use of lemborexant with alcohol should be avoided.  Patients should be advised to avoid consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potentially hazardous activities requiring mental alertness and motor coordination until they know how these agents affect them, and to notify their doctor if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
21,DDInter1034,grapefruit juice,Major,"Grapefruit juice may increase the plasma concentrations of lemborexant, which is primarily metabolized by CYP450 3A4.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP450 3A4 may also contribute.  The interaction has not been studied with grapefruit juice but has been reported for other CYP450 3A4 inhibitors.","The manufacturer makes no recommendation regarding administration with food; however, the time to sleep onset may be delayed if taken with or soon after a meal.  Patients should avoid consumption of grapefruit, grapefruit juice, or supplements that contain grapefruit during treatment with lemborexant.",,
22,DDInter1044,alcohol,Moderate,"Case histories have suggested that levamisole is associated with some side effects (including headache, fever, shivers, and dizziness) that suggest an disulfiram-like interaction with alcohol.  These side effects could be alleviated by total abstinence from alcohol.  No mechanism has been established for this interaction.",Patients receiving levamisole should avoid alcohol.,,
23,DDInter1045,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
24,DDInter1046,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
25,DDInter1053,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
26,DDInter1054,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of levodopa.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","In general, alcohol consumption should be avoided or limited during treatment with CNS-depressant agents.  Until more data are available, it is advisable to avoid large fluctuations in daily protein intake and to monitor patients for altered effects of levodopa if the protein content of the diet is increased.",,
27,DDInter1055,food,Moderate,"Food may reduce the oral absorption and bioavailability of levofloxacin.  According to the drug product labeling, administration of levofloxacin 500 mg with food prolonged the time to peak concentration by 1 hour and decreased the Cmax decreased by 25% following administration of the oral solution and by 14% following administration of the oral tablet.","To ensure maximal and consistent oral absorption, levofloxacin oral solution should be taken at least one hour before or two hours after meals.  For administration of the oral solution with continuous enteral nutrition, some experts recommend that the tube feeding should be interrupted for one hour before and two hours after the dose of levofloxacin.  The oral tablets may be taken without regard to food.",,
28,DDInter1061,alcohol,Minor,"The central nervous system effects and blood levels of ethanol may be increased in patients taking oral contraceptives, although data are lacking and reports are contradictory.  The mechanism may be due to enzyme inhibition.",Consider counseling women about this interaction which is unpredictable.,,
29,DDInter1061,grapefruit juice,Moderate,Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP450 3A4.  Grapefruit and grapefruit juice should be avoided if an interaction is suspected.  Orange juice is not expected to interact with these drugs.,,
30,DDInter1064,dietary fiber,Moderate,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.","Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods that may affect T4 absorption should be avoided within several hours of dosing if possible.  When administered to patients receiving continuous enteral nutrition for more than 7 days, some experts recommend that the tube feeding should be interrupted for at least 1 hour before and 1 hour after the dose of levothyroxine is given and to monitor patients' thyroid function.",,
31,DDInter1064,soybean,Moderate,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.","Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods that may affect T4 absorption should be avoided within several hours of dosing if possible.  When administered to patients receiving continuous enteral nutrition for more than 7 days, some experts recommend that the tube feeding should be interrupted for at least 1 hour before and 1 hour after the dose of levothyroxine is given and to monitor patients' thyroid function.",,
32,DDInter1062,alcohol,Moderate,"Ethanol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.",Concomitant use of opioid analgesics with ethanol should be avoided.,,
33,DDInter1059,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
34,DDInter1070,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
35,DDInter1069,food,Moderate,"Administration of linaclotide in the fed condition resulted in more gastrointestinal side effects and more frequent and looser stools, than when it was administered under fasting conditions.",It is recommended to take linaclotide 30 minutes before a meal.,,
36,DDInter1077,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
37,DDInter1078,alcohol,Moderate,Alcohol may potentiate the cardiovascular effects of amphetamines.  The exact mechanism of interaction is unknown.,"Concomitant use of amphetamines and alcohol should be avoided if possible, especially in patients with a history of heart disease.",,
38,DDInter1082,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
39,DDInter1082,food,Moderate,"Lixisenatide slows gastric emptying, which may impact the absorption of concomitantly administered oral medications.  The interaction has been studied with various medications, which demonstrated primarily an effect on the rate rather than the overall extent of absorption.","Caution is advised during concomitant use of lixisenatide with oral medications that have a narrow therapeutic index or that require careful clinical monitoring.  These medications should be administered on a consistent schedule relative to lixisenatide, and blood levels and/or pharmacologic effects should be closely monitored.  In addition, if they are to be administered with food, patients should be advised to take them with a meal or snack when lixisenatide is not administered.  Oral medications that are particularly dependent on threshold concentrations for efficacy, such as antibiotics, or medications for which a delay in effect is undesirable, such as acetaminophen, should be administered at least 1 hour before lixisenatide.  Gastro-resistant formulations containing substances sensitive to stomach degradation should be administered 1 hour before or 4 hours after lixisenatide.  Patients taking oral contraceptives should be advised to take them at least 1 hour before or 11 hours after lixisenatide.",,
40,DDInter1088,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
41,DDInter1079,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
42,DDInter1079,Food High in Potassium,Moderate,"Moderate-to-high dietary intake of potassium can cause hyperkalemia in some patients who are using angiotensin converting enzyme (ACE) inhibitors.  In some cases, affected patients were using a potassium-rich salt substitute.  ACE inhibitors can promote hyperkalemia through inhibition of the renin-aldosterone-angiotensin (RAA) system.",It is recommended that patients who are taking ACE inhibitors be advised to avoid moderately high or high potassium dietary intake.  Particular attention should be paid to the potassium content of salt substitutes.,,
43,DDInter1081,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
44,DDInter1091,grapefruit juice,Minor,"Theoretically, grapefruit juice may increase the plasma concentrations of loratadine as it does other drugs that are substrates of the CYP450 3A4 enzymatic pathway.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.","The clinical significance of this potential interaction is unknown.  Reported interactions with potent CYP450 3A4 inhibitors like clarithromycin, erythromycin and ketoconazole have produced substantial increases in the area under the plasma concentration-time curve (AUC) of loratadine and its active metabolite, descarboethoxyloratadine, without associated changes in the overall safety profile of the drug.Therefore, no additional therapeutic adjustments were required.",,
45,DDInter1090,food,Moderate,Loracarbef may exhibit reduced gastrointestinal absorption in the presence of food.,Loracarbef should be administered at least one hour before or two hours after eating.,,
46,DDInter1092,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
47,DDInter1087,grapefruit juice,Major,"Grapefruit juice may increase the plasma concentrations of lonafarnib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP450 3A4 may also contribute.  The interaction has not been studied with grapefruit juice, but has been reported for other CYP450 3A4 inhibitors.",Lonafarnib should be administered with the morning and evening meals and an adequate amount of water.  Patients should avoid consumption of grapefruit or grapefruit juice and Seville oranges (also known as bitter or sour oranges).during treatment with lonafarnib.,,
48,DDInter1075,soybean,Moderate,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.","Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods that may affect T4 absorption should be avoided within several hours of dosing if possible.  When administered to patients receiving continuous enteral nutrition for more than 7 days, some experts recommend that the tube feeding should be interrupted for at least 1 hour before and 1 hour after the dose of levothyroxine is given and to monitor patients' thyroid function.",,
49,DDInter1075,cotton seed,Moderate,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.","Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods that may affect T4 absorption should be avoided within several hours of dosing if possible.  When administered to patients receiving continuous enteral nutrition for more than 7 days, some experts recommend that the tube feeding should be interrupted for at least 1 hour before and 1 hour after the dose of levothyroxine is given and to monitor patients' thyroid function.",,
50,DDInter1075,walnuts,Moderate,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.","Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods that may affect T4 absorption should be avoided within several hours of dosing if possible.  When administered to patients receiving continuous enteral nutrition for more than 7 days, some experts recommend that the tube feeding should be interrupted for at least 1 hour before and 1 hour after the dose of levothyroxine is given and to monitor patients' thyroid function.",,
51,DDInter1075,dietary fiber,Moderate,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.","Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods that may affect T4 absorption should be avoided within several hours of dosing if possible.  When administered to patients receiving continuous enteral nutrition for more than 7 days, some experts recommend that the tube feeding should be interrupted for at least 1 hour before and 1 hour after the dose of levothyroxine is given and to monitor patients' thyroid function.",,
52,DDInter1093,food,Minor,"Food does not appear to significantly affect the absorption and oral bioavailability of lurasidone.  In twelve adult volunteers (6 men and 6 women), administration of a single 10 mg oral dose of lorcaserin following a high-fat (approximately 50% of total caloric content of the meal) and high-calorie (approximately 800 to 1000 calories) meal resulted in less than 10% increases in lorcaserin peak plasma concentration (Cmax) and systemic exposure (AUC) compared to administration in the fasted state.  The time to reach peak concentration (Tmax) was delayed by approximately 1 hour in the fed state.",Lorcaserin may be administered with or without food.,,
53,DDInter1073,Tyrosine-rich foods,Major,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase inhibitors (MAOIs).  The mechanism is inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.","In general, patients treated with MAOIs or other agents that possess MAOI activity (e.g., furazolidone, linezolid, procarbazine) should avoid consumption of products that contain large amounts of amines and protein foods in which aging or breakdown of protein is used to increase flavor.  These foods include cheese (particularly strong, aged or processed cheeses), sour cream, wine (particularly red wine), champagne, beer, pickled herring, anchovies, caviar, shrimp paste, liver (particularly chicken liver), dry sausage, salamis, figs, raisins, bananas, avocados, chocolate, soy sauce, bean curd, sauerkraut, yogurt, papaya products, meat tenderizers, fava bean pods, protein extracts, yeast extracts, and dietary supplements.  Caffeine may also precipitate hypertensive crisis so its intake should be minimized as well.  At least 14 days should elapse following discontinuation of MAOI therapy before these foods may be consumed.  Specially designed reference materials and dietary consultation are recommended so that an appropriate and safe diet can be planned.  Patients should be advised to promptly seek medical attention if they experience potential signs and symptoms of a hypertensive crisis such as severe headache, visual disturbances, difficulty thinking, stupor or coma, seizures, chest pain, unexplained nausea or vomiting, and stroke-like symptoms.  Patients should also be counseled not to use MAOIs with alcohol, and to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them.",,
