med_id,source,active_ingredient,route,frequency,instructions,reason,quality
25207,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
25224,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
25279,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
25877,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26239,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26434,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26436,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26437,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26448,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26449,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26473,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26474,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26475,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26476,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26663,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26664,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26665,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26743,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26766,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26769,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26881,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26919,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
26973,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27068,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27391,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27416,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27469,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27472,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27473,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27499,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27590,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27819,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
27820,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28228,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28229,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28421,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28595,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28621,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28646,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28665,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28666,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28669,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
28705,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
29613,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
30077,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
30126,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
30386,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
30762,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
30938,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
31359,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
31472,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
31507,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
31718,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
31834,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
32078,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
32102,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
32364,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
32376,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
32436,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
32490,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
33012,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
33021,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
33052,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
33664,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
33680,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
25904,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
25905,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
25906,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
26292,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
26293,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
26294,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
28426,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
28427,DailyMed,N/A,,24,General Dosing Considerations for Parkinson's Disease and RLS: Ropinirole tablets USP can be taken with or without food.,No Dosage Numbers in Text; Missing Route,LOW
775,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1345,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1946,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2364,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2728,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3220,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3449,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3450,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6524,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6767,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6895,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7611,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7619,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
9012,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
12036,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13265,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13800,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15011,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15024,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15040,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15046,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17300,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17301,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17302,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17376,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17896,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
18153,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
19372,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20264,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20411,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20468,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20470,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20717,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21272,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22113,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22114,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22459,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23114,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23212,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
24604,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
